thumb_metacarpal,thumb_proximal,thumb_intermediate,thumb_distal,index_metacarpal,index_proximal,index_intermediate,index_distal,middle_metacarpal,middle_proximal,middle_intermediate,middle_distal,ring_metacarpal,ring_proximal,ring_intermediate,ring_distal,pinky_metacarpal,pinky_proximal,pinky_intermediate,pinky_distal,gesture,person
"(0, 0, 0)","(0.563891, -0.13012, 0.815534)","(0.716633, -0.267112, 0.644273)","(0.835471, -0.411901, 0.363767)","(0.677896, -0.387994, 0.624434)","(0.360624, -0.730164, 0.580354)","(0.503948, -0.527191, 0.684183)","(0.603544, -0.306812, 0.735935)","(0.58504, -0.36698, 0.723225)","(0.592055, 0.784121, 0.186075)","(-0.432565, 0.603778, -0.669582)","(-0.72944, 0.0347963, -0.683159)","(0.471417, -0.332908, 0.816663)","(0.626937, 0.761294, 0.165473)","(-0.32045, 0.55067, -0.770762)","(-0.653137, 0.00784814, -0.757199)","(0.340129, -0.330284, 0.880468)","(0.703876, 0.706639, 0.0722563)","(0.0220374, 0.449132, -0.893193)","(-0.36562, 0.0580292, -0.928954)",fist,peter
"(0, 0, 0)","(0.562972, -0.13028, 0.816143)","(0.716042, -0.267023, 0.644968)","(0.835358, -0.411525, 0.36445)","(0.677434, -0.387917, 0.624983)","(0.360448, -0.73047, 0.580079)","(0.503672, -0.527211, 0.68437)","(0.603119, -0.306467, 0.736427)","(0.584438, -0.367053, 0.723674)","(0.591182, 0.784467, 0.187389)","(-0.432239, 0.603912, -0.669671)","(-0.728626, 0.0346976, -0.684032)","(0.470672, -0.333143, 0.816997)","(0.626108, 0.761682, 0.166821)","(-0.319843, 0.551046, -0.770746)","(-0.652124, 0.00801128, -0.75807)","(0.339303, -0.330673, 0.880641)","(0.703214, 0.707152, 0.0736617)","(0.0227827, 0.449822, -0.892827)","(-0.364512, 0.0584347, -0.929363)",fist,peter
"(0, 0, 0)","(0.562619, -0.129119, 0.816571)","(0.715986, -0.265743, 0.645558)","(0.835688, -0.410244, 0.365138)","(0.677561, -0.386696, 0.625602)","(0.361003, -0.729801, 0.580576)","(0.504003, -0.52615, 0.684943)","(0.603178, -0.30505, 0.736967)","(0.584474, -0.365908, 0.724225)","(0.589996, 0.785365, 0.187366)","(-0.432647, 0.602978, -0.670249)","(-0.728245, 0.0333524, -0.684505)","(0.470603, -0.332106, 0.817459)","(0.624964, 0.762617, 0.16684)","(-0.320005, 0.550287, -0.771221)","(-0.651576, 0.0068782, -0.758552)","(0.339191, -0.329782, 0.881018)","(0.702213, 0.708136, 0.0737592)","(0.022742, 0.449415, -0.893033)","(-0.364002, 0.0574871, -0.929622)",fist,peter
"(0, 0, 0)","(0.562512, -0.126684, 0.817026)","(0.716082, -0.263525, 0.64636)","(0.836037, -0.40854, 0.366248)","(0.677802, -0.38456, 0.626656)","(0.361555, -0.728233, 0.582198)","(0.50447, -0.523964, 0.686274)","(0.603467, -0.302347, 0.737845)","(0.584664, -0.363655, 0.725205)","(0.589072, 0.786435, 0.185778)","(-0.43313, 0.60099, -0.671721)","(-0.728088, 0.0310059, -0.684782)","(0.470729, -0.32977, 0.818331)","(0.623984, 0.763787, 0.165149)","(-0.320459, 0.548056, -0.772619)","(-0.651343, 0.00437801, -0.75877)","(0.339296, -0.32745, 0.881848)","(0.701414, 0.709068, 0.0723865)","(0.0225083, 0.447452, -0.894025)","(-0.363795, 0.0550192, -0.929853)",fist,peter
"(0, 0, 0)","(0.56243, -0.12489, 0.817359)","(0.716151, -0.26189, 0.646948)","(0.836295, -0.407288, 0.367052)","(0.677979, -0.382984, 0.62743)","(0.361879, -0.727122, 0.583385)","(0.504762, -0.522364, 0.687278)","(0.603649, -0.300313, 0.738526)","(0.584803, -0.361993, 0.725924)","(0.58839, 0.787223, 0.184602)","(-0.433488, 0.599519, -0.672804)","(-0.727972, 0.0292711, -0.684982)","(0.470821, -0.328048, 0.81897)","(0.622909, 0.765076, 0.163228)","(-0.321296, 0.545656, -0.773969)","(-0.651271, 0.00188313, -0.758843)","(0.339372, -0.325729, 0.882455)","(0.700827, 0.709752, 0.0713718)","(0.0223372, 0.446004, -0.894752)","(-0.363641, 0.0532009, -0.930019)",fist,peter
"(0, 0, 0)","(0.563379, -0.124078, 0.816829)","(0.716071, -0.262628, 0.646737)","(0.834939, -0.40991, 0.36722)","(0.677253, -0.383608, 0.627832)","(0.359232, -0.726427, 0.58588)","(0.503693, -0.521398, 0.688795)","(0.603941, -0.298982, 0.738827)","(0.584378, -0.361701, 0.726412)","(0.592734, 0.785048, 0.179907)","(-0.431772, 0.59867, -0.674661)","(-0.729161, 0.029874, -0.68369)","(0.470753, -0.326759, 0.819525)","(0.626349, 0.763549, 0.157096)","(-0.321396, 0.541986, -0.776502)","(-0.653158, 2.65979e-05, -0.757222)","(0.339442, -0.323486, 0.883253)","(0.705312, 0.705323, 0.0710996)","(0.0193916, 0.438515, -0.898514)","(-0.369787, 0.0448092, -0.928036)",fist,peter
"(0, 0, 0)","(0.564134, -0.122666, 0.816521)","(0.715905, -0.262764, 0.646865)","(0.833639, -0.411995, 0.36784)","(0.676501, -0.383651, 0.628616)","(0.35682, -0.725132, 0.588951)","(0.503092, -0.519013, 0.691031)","(0.604686, -0.295393, 0.739661)","(0.583892, -0.360827, 0.727237)","(0.596659, 0.78317, 0.175052)","(-0.430119, 0.597317, -0.676912)","(-0.730147, 0.0298687, -0.682636)","(0.470583, -0.324898, 0.820361)","(0.628816, 0.763017, 0.149655)","(-0.322819, 0.536312, -0.779845)","(-0.655343, -0.00401982, -0.755321)","(0.339395, -0.320701, 0.884286)","(0.709353, 0.701338, 0.0703098)","(0.0168245, 0.430981, -0.902204)","(-0.375237, 0.0365366, -0.926209)",fist,peter
"(0, 0, 0)","(0.564461, -0.12145, 0.816476)","(0.715576, -0.262761, 0.647231)","(0.832524, -0.413529, 0.368643)","(0.675731, -0.383574, 0.629491)","(0.355199, -0.723668, 0.591725)","(0.503202, -0.515855, 0.693312)","(0.605879, -0.290412, 0.740656)","(0.583297, -0.360032, 0.728108)","(0.599599, 0.781734, 0.171388)","(-0.428652, 0.596151, -0.678868)","(-0.730692, 0.0297506, -0.682059)","(0.470206, -0.323333, 0.821196)","(0.630297, 0.763009, 0.143328)","(-0.324443, 0.530851, -0.782901)","(-0.657077, -0.00827016, -0.753778)","(0.339094, -0.318416, 0.885227)","(0.712427, 0.698251, 0.0699518)","(0.0149908, 0.42495, -0.905093)","(-0.379296, 0.0299035, -0.924792)",fist,peter
"(0, 0, 0)","(0.561883, -0.122559, 0.818087)","(0.713368, -0.263909, 0.649199)","(0.831012, -0.414627, 0.370816)","(0.673462, -0.384667, 0.631252)","(0.353728, -0.72349, 0.592823)","(0.502849, -0.513212, 0.695526)","(0.60583, -0.285083, 0.742763)","(0.580757, -0.3611, 0.729608)","(0.59985, 0.78103, 0.173701)","(-0.426042, 0.597015, -0.679751)","(-0.728622, 0.0309107, -0.684218)","(0.467424, -0.324352, 0.822381)","(0.629618, 0.763496, 0.143721)","(-0.323272, 0.529494, -0.784303)","(-0.655313, -0.00906632, -0.755303)","(0.336126, -0.319348, 0.886023)","(0.713308, 0.696824, 0.075026)","(0.0161114, 0.423613, -0.9057)","(-0.379149, 0.0274433, -0.924929)",fist,peter
"(0, 0, 0)","(0.559878, -0.123419, 0.819331)","(0.71165, -0.2648, 0.650718)","(0.829837, -0.415482, 0.372486)","(0.6717, -0.385516, 0.632611)","(0.353308, -0.722818, 0.593892)","(0.503255, -0.510382, 0.697312)","(0.606343, -0.280008, 0.744274)","(0.578785, -0.361929, 0.730764)","(0.600035, 0.780487, 0.175494)","(-0.424021, 0.597679, -0.68043)","(-0.727014, 0.031808, -0.685885)","(0.465265, -0.325142, 0.823293)","(0.628229, 0.764916, 0.142238)","(-0.324032, 0.52649, -0.78601)","(-0.654527, -0.0114672, -0.755952)","(0.333824, -0.320071, 0.886632)","(0.713989, 0.695675, 0.0790957)","(0.0168711, 0.422475, -0.906218)","(-0.379179, 0.0253559, -0.924976)",fist,peter
"(0, 0, 0)","(0.558678, -0.123932, 0.820073)","(0.710622, -0.265334, 0.651624)","(0.829136, -0.416002, 0.373465)","(0.670648, -0.386022, 0.633418)","(0.353878, -0.721716, 0.594892)","(0.504423, -0.507387, 0.698653)","(0.607463, -0.275151, 0.745171)","(0.577608, -0.362423, 0.73145)","(0.600141, 0.780164, 0.176561)","(-0.422822, 0.598069, -0.680834)","(-0.726055, 0.0323334, -0.686876)","(0.463977, -0.325613, 0.823834)","(0.627043, 0.766184, 0.140639)","(-0.324987, 0.52396, -0.787305)","(-0.654156, -0.0134851, -0.75624)","(0.33245, -0.320502, 0.886992)","(0.714463, 0.694849, 0.0820237)","(0.0169176, 0.421407, -0.906714)","(-0.379734, 0.0234127, -0.924799)",fist,peter
"(0, 0, 0)","(0.558729, -0.123845, 0.820051)","(0.710691, -0.265226, 0.651593)","(0.829225, -0.415895, 0.373385)","(0.670741, -0.385917, 0.633384)","(0.354625, -0.721286, 0.594968)","(0.505677, -0.505757, 0.698928)","(0.608763, -0.272266, 0.745171)","(0.577702, -0.362333, 0.73142)","(0.600022, 0.780266, 0.176521)","(-0.422965, 0.597986, -0.680818)","(-0.7261, 0.0321977, -0.686835)","(0.464069, -0.325542, 0.82381)","(0.625989, 0.767402, 0.138676)","(-0.327187, 0.521448, -0.788061)","(-0.655013, -0.0161147, -0.755446)","(0.332545, -0.320452, 0.886975)","(0.714584, 0.694553, 0.0834581)","(0.0156074, 0.420259, -0.90727)","(-0.381359, 0.0212946, -0.924182)",fist,peter
"(0, 0, 0)","(0.558765, -0.123779, 0.820037)","(0.710741, -0.265148, 0.651571)","(0.829294, -0.41582, 0.373317)","(0.67081, -0.385839, 0.633358)","(0.354984, -0.721133, 0.59494)","(0.506254, -0.505093, 0.698991)","(0.60936, -0.271056, 0.745124)","(0.577772, -0.362266, 0.731398)","(0.599931, 0.780343, 0.176489)","(-0.423076, 0.59792, -0.680807)","(-0.726136, 0.0320919, -0.686802)","(0.464139, -0.325488, 0.823792)","(0.625103, 0.768424, 0.13701)","(-0.329133, 0.519207, -0.78873)","(-0.6558, -0.0185227, -0.754707)","(0.332616, -0.320413, 0.886962)","(0.714703, 0.694278, 0.0847207)","(0.0144742, 0.419249, -0.907756)","(-0.382777, 0.0194475, -0.923636)",fist,peter
"(0, 0, 0)","(0.559478, -0.123045, 0.819661)","(0.711611, -0.264082, 0.651053)","(0.83028, -0.414464, 0.372633)","(0.671894, -0.384837, 0.632818)","(0.356778, -0.720655, 0.594446)","(0.507877, -0.50407, 0.698552)","(0.610621, -0.269522, 0.744647)","(0.578873, -0.361467, 0.730922)","(0.598612, 0.781378, 0.176384)","(-0.42459, 0.597367, -0.68035)","(-0.726615, 0.0309865, -0.686346)","(0.46523, -0.324926, 0.823398)","(0.623201, 0.770198, 0.135703)","(-0.331569, 0.517627, -0.788748)","(-0.656534, -0.0205265, -0.754017)","(0.333737, -0.320112, 0.88665)","(0.713663, 0.695234, 0.085646)","(0.0122493, 0.418706, -0.908039)","(-0.384566, 0.0174985, -0.922931)",fist,peter
"(0, 0, 0)","(0.563428, -0.120875, 0.817275)","(0.714766, -0.262335, 0.648298)","(0.832118, -0.413442, 0.369656)","(0.674981, -0.383138, 0.63056)","(0.359742, -0.719095, 0.594549)","(0.511363, -0.502151, 0.69739)","(0.614318, -0.267387, 0.742373)","(0.582431, -0.359524, 0.729052)","(0.599363, 0.781897, 0.171471)","(-0.427946, 0.595551, -0.679839)","(-0.729925, 0.0291247, -0.682907)","(0.469231, -0.322756, 0.82198)","(0.623151, 0.771308, 0.129486)","(-0.33636, 0.514388, -0.788839)","(-0.660399, -0.0234274, -0.750549)","(0.338044, -0.317792, 0.885853)","(0.714147, 0.695245, 0.0814114)","(0.00700843, 0.415575, -0.909532)","(-0.390079, 0.0136794, -0.92068)",fist,peter
"(0, 0, 0)","(0.566609, -0.119893, 0.815218)","(0.717468, -0.261271, 0.645738)","(0.833948, -0.412399, 0.366686)","(0.677752, -0.382122, 0.6282)","(0.362673, -0.718581, 0.593388)","(0.5145, -0.501417, 0.695608)","(0.617414, -0.266474, 0.74013)","(0.585547, -0.358561, 0.727027)","(0.599153, 0.782626, 0.168857)","(-0.431147, 0.594761, -0.678507)","(-0.732516, 0.0280035, -0.680174)","(0.472656, -0.321873, 0.820362)","(0.622256, 0.772654, 0.125708)","(-0.340616, 0.512743, -0.788083)","(-0.663339, -0.0250711, -0.747899)","(0.341704, -0.31702, 0.884724)","(0.713839, 0.695806, 0.0792934)","(0.00243411, 0.414471, -0.910059)","(-0.394471, 0.0116054, -0.918835)",fist,peter
"(0, 0, 0)","(0.568287, -0.119262, 0.814142)","(0.71892, -0.260579, 0.644401)","(0.834973, -0.411712, 0.365121)","(0.679264, -0.38146, 0.626968)","(0.364286, -0.718272, 0.592774)","(0.516249, -0.500867, 0.694708)","(0.619128, -0.265687, 0.73898)","(0.587236, -0.357941, 0.72597)","(0.598903, 0.783116, 0.167466)","(-0.432928, 0.59425, -0.67782)","(-0.733875, 0.0272683, -0.678737)","(0.474502, -0.321311, 0.819517)","(0.621423, 0.773718, 0.123263)","(-0.343237, 0.511456, -0.787782)","(-0.664938, -0.0262574, -0.746437)","(0.343673, -0.316537, 0.884134)","(0.713609, 0.696133, 0.0784932)","(-0.000296429, 0.413612, -0.910453)","(-0.39711, 0.00997553, -0.917717)",fist,peter
"(0, 0, 0)","(0.569429, -0.117687, 0.813572)","(0.720101, -0.258889, 0.643763)","(0.836087, -0.410064, 0.364424)","(0.68063, -0.379846, 0.626466)","(0.365814, -0.717589, 0.59266)","(0.517729, -0.499733, 0.694424)","(0.620405, -0.26411, 0.738474)","(0.58868, -0.356403, 0.725557)","(0.597791, 0.784245, 0.166148)","(-0.434722, 0.592989, -0.677776)","(-0.73472, 0.0255036, -0.677891)","(0.475995, -0.319887, 0.819208)","(0.620254, 0.774874, 0.121881)","(-0.344981, 0.510303, -0.787769)","(-0.665731, -0.0278409, -0.745672)","(0.345234, -0.31528, 0.883975)","(0.712659, 0.697179, 0.0778293)","(-0.00263144, 0.41234, -0.911026)","(-0.398952, 0.00760562, -0.91694)",fist,peter
"(0, 0, 0)","(0.570184, -0.116475, 0.813219)","(0.720837, -0.25771, 0.643412)","(0.83673, -0.409059, 0.364078)","(0.681458, -0.378711, 0.626253)","(0.366272, -0.717289, 0.59274)","(0.518231, -0.499279, 0.694375)","(0.620908, -0.263466, 0.738281)","(0.589569, -0.355255, 0.725398)","(0.597269, 0.784898, 0.164937)","(-0.435782, 0.591996, -0.677964)","(-0.7353, 0.0242589, -0.677308)","(0.47693, -0.318747, 0.819108)","(0.619745, 0.775459, 0.120746)","(-0.345838, 0.509514, -0.787903)","(-0.666192, -0.0287611, -0.745226)","(0.346219, -0.314191, 0.883978)","(0.71225, 0.697661, 0.0772648)","(-0.00425164, 0.410992, -0.911629)","(-0.400394, 0.00552402, -0.916326)",fist,peter
"(0, 0, 0)","(0.55829, -0.111563, 0.82211)","(0.716984, -0.244399, 0.652842)","(0.843397, -0.386563, 0.373163)","(0.682187, -0.366348, 0.632779)","(0.37814, -0.71635, 0.58639)","(0.520556, -0.495777, 0.695145)","(0.614433, -0.257785, 0.745667)","(0.587665, -0.347889, 0.730495)","(0.566302, 0.801901, 0.190414)","(-0.44317, 0.588865, -0.675898)","(-0.722671, 0.0112109, -0.691101)","(0.472059, -0.317005, 0.822599)","(0.590511, 0.793397, 0.14771)","(-0.346362, 0.513766, -0.784907)","(-0.649481, -0.0353681, -0.759555)","(0.340056, -0.318145, 0.884955)","(0.686045, 0.720031, 0.104392)","(-0.00189122, 0.426453, -0.904508)","(-0.383707, 0.0071597, -0.923427)",fist,peter
"(0, 0, 0)","(0.555977, -0.110415, 0.823831)","(0.716353, -0.241354, 0.654665)","(0.844949, -0.381448, 0.374912)","(0.682588, -0.36349, 0.633995)","(0.381025, -0.715959, 0.584997)","(0.521354, -0.494773, 0.695263)","(0.613258, -0.256251, 0.747161)","(0.58755, -0.346147, 0.731415)","(0.559293, 0.805539, 0.195698)","(-0.445155, 0.588017, -0.675332)","(-0.720079, 0.0082667, -0.693843)","(0.471353, -0.316523, 0.823189)","(0.58391, 0.797188, 0.153425)","(-0.346742, 0.514786, -0.78407)","(-0.645961, -0.0366093, -0.762492)","(0.339124, -0.318932, 0.885029)","(0.680043, 0.724858, 0.110096)","(-0.00195051, 0.429724, -0.902958)","(-0.38047, 0.00737689, -0.924764)",fist,peter
"(0, 0, 0)","(0.55617, -0.107509, 0.824086)","(0.717179, -0.237841, 0.655046)","(0.846494, -0.377545, 0.375377)","(0.683962, -0.360133, 0.634429)","(0.381543, -0.7156, 0.5851)","(0.520623, -0.495189, 0.695514)","(0.611781, -0.257471, 0.747952)","(0.588816, -0.343153, 0.731807)","(0.555681, 0.808102, 0.19542)","(-0.447515, 0.585661, -0.675819)","(-0.719878, 0.00469663, -0.694085)","(0.47246, -0.313987, 0.823525)","(0.581315, 0.798754, 0.155128)","(-0.34582, 0.516245, -0.783517)","(-0.644134, -0.0357103, -0.764079)","(0.340222, -0.316941, 0.885323)","(0.676893, 0.727756, 0.110397)","(-0.0039044, 0.428803, -0.90339)","(-0.380667, 0.0044765, -0.924701)",fist,peter
"(0, 0, 0)","(0.556297, -0.105358, 0.824277)","(0.717775, -0.235243, 0.655332)","(0.847625, -0.374657, 0.375718)","(0.684965, -0.357646, 0.634754)","(0.381229, -0.715635, 0.585261)","(0.519244, -0.496247, 0.695791)","(0.609897, -0.259538, 0.748776)","(0.589739, -0.340933, 0.732101)","(0.553002, 0.809988, 0.195212)","(-0.449252, 0.583907, -0.676185)","(-0.719716, 0.00205213, -0.694266)","(0.473266, -0.312106, 0.823777)","(0.580484, 0.798685, 0.15856)","(-0.342196, 0.521019, -0.781947)","(-0.64145, -0.030662, -0.766552)","(0.341023, -0.315464, 0.885543)","(0.67457, 0.729861, 0.110716)","(-0.00541365, 0.428029, -0.903749)","(-0.380894, 0.00218731, -0.924616)",fist,peter
"(0, 0, 0)","(0.553722, -0.0783949, 0.829003)","(0.71528, -0.214504, 0.665103)","(0.845492, -0.363887, 0.390806)","(0.68217, -0.337449, 0.64867)","(0.377147, -0.695977, 0.611045)","(0.515302, -0.473625, 0.714243)","(0.606462, -0.235858, 0.759325)","(0.586729, -0.31711, 0.745111)","(0.554847, 0.814676, 0.168666)","(-0.445691, 0.561452, -0.697231)","(-0.717811, -0.0199078, -0.695953)","(0.470091, -0.2848, 0.835406)","(0.583576, 0.800762, 0.13498)","(-0.334853, 0.499024, -0.79928)","(-0.637634, -0.0500235, -0.768714)","(0.33767, -0.285643, 0.896876)","(0.676477, 0.731215, 0.0877673)","(-0.00200725, 0.396201, -0.918162)","(-0.378777, -0.0292942, -0.925024)",fist,peter
"(0, 0, 0)","(0.55575, -0.0619822, 0.829036)","(0.714772, -0.20506, 0.668619)","(0.841849, -0.364193, 0.398313)","(0.679897, -0.327952, 0.655887)","(0.36941, -0.683041, 0.630072)","(0.510709, -0.460331, 0.726135)","(0.605259, -0.223314, 0.764063)","(0.585119, -0.303478, 0.752022)","(0.566766, 0.811388, 0.142921)","(-0.440524, 0.547094, -0.711777)","(-0.720691, -0.0301138, -0.692602)","(0.469289, -0.266921, 0.841737)","(0.596066, 0.795158, 0.111485)","(-0.328073, 0.483517, -0.811529)","(-0.639762, -0.0594391, -0.766271)","(0.337107, -0.264118, 0.90366)","(0.686975, 0.723815, 0.0644814)","(-0.000330307, 0.368961, -0.929445)","(-0.383098, -0.0514575, -0.922274)",fist,peter
"(0, 0, 0)","(0.555627, -0.0584241, 0.829377)","(0.714719, -0.202113, 0.669573)","(0.841896, -0.362329, 0.399912)","(0.679886, -0.325064, 0.657334)","(0.369477, -0.680169, 0.633133)","(0.510492, -0.457315, 0.72819)","(0.604887, -0.220473, 0.765182)","(0.585086, -0.300225, 0.753353)","(0.566499, 0.812137, 0.139684)","(-0.440578, 0.544034, -0.714085)","(-0.720573, -0.0331744, -0.692585)","(0.46923, -0.263335, 0.842898)","(0.596375, 0.795196, 0.10954)","(-0.326267, 0.482191, -0.813045)","(-0.638695, -0.0602477, -0.767097)","(0.337037, -0.260317, 0.904788)","(0.686794, 0.72421, 0.0619221)","(-0.000512399, 0.364913, -0.931042)","(-0.383223, -0.0557534, -0.921972)",fist,peter
"(0, 0, 0)","(0.55559, -0.0575222, 0.829465)","(0.714702, -0.201367, 0.669815)","(0.841912, -0.361871, 0.400291)","(0.679884, -0.32433, 0.657699)","(0.369631, -0.679093, 0.634197)","(0.510361, -0.456425, 0.72884)","(0.604598, -0.219944, 0.765562)","(0.585078, -0.299399, 0.753687)","(0.566427, 0.81233, 0.138855)","(-0.440601, 0.543246, -0.714671)","(-0.720547, -0.0339659, -0.692574)","(0.469216, -0.262425, 0.84319)","(0.5969, 0.794737, 0.110014)","(-0.32436, 0.483523, -0.813017)","(-0.637685, -0.0584444, -0.768077)","(0.33702, -0.259353, 0.905071)","(0.686788, 0.724247, 0.0615463)","(-0.000770716, 0.363656, -0.931533)","(-0.383528, -0.0572238, -0.921755)",fist,peter
"(0, 0, 0)","(0.555564, -0.0569673, 0.82952)","(0.71469, -0.200911, 0.669965)","(0.841925, -0.361597, 0.400513)","(0.679883, -0.32388, 0.657921)","(0.370119, -0.677768, 0.635328)","(0.510479, -0.455212, 0.729516)","(0.604453, -0.219094, 0.76592)","(0.585073, -0.298892, 0.753892)","(0.566382, 0.812449, 0.138343)","(-0.440621, 0.542754, -0.715032)","(-0.720532, -0.0344561, -0.692565)","(0.469208, -0.261866, 0.843368)","(0.597005, 0.794682, 0.109841)","(-0.323538, 0.483923, -0.813106)","(-0.637167, -0.0576411, -0.768567)","(0.33701, -0.258761, 0.905244)","(0.686801, 0.724246, 0.061425)","(-0.00101294, 0.362795, -0.931868)","(-0.383824, -0.058279, -0.921565)",fist,peter
"(0, 0, 0)","(0.54577, -0.0572255, 0.835979)","(0.707987, -0.199016, 0.677604)","(0.839804, -0.357199, 0.408826)","(0.674314, -0.322185, 0.664453)","(0.370033, -0.674675, 0.638662)","(0.506877, -0.450553, 0.7349)","(0.59771, -0.213618, 0.772729)","(0.578138, -0.298483, 0.759384)","(0.558151, 0.816111, 0.149769)","(-0.43613, 0.543242, -0.717411)","(-0.711685, -0.036279, -0.701561)","(0.460892, -0.262874, 0.847629)","(0.589395, 0.798602, 0.121853)","(-0.316797, 0.486545, -0.814195)","(-0.626874, -0.0575116, -0.776995)","(0.327925, -0.261159, 0.907888)","(0.680249, 0.729219, 0.0741677)","(0.00730486, 0.367737, -0.929901)","(-0.37231, -0.0565722, -0.926383)",fist,peter
"(0, 0, 0)","(0.540524, -0.056658, 0.839418)","(0.704726, -0.196818, 0.681634)","(0.839383, -0.353188, 0.413153)","(0.671955, -0.320153, 0.667816)","(0.373838, -0.669033, 0.642371)","(0.508034, -0.442228, 0.739146)","(0.595947, -0.203686, 0.776762)","(0.574993, -0.297422, 0.762183)","(0.551767, 0.819203, 0.156395)","(-0.434888, 0.542937, -0.718395)","(-0.706728, -0.0384281, -0.706441)","(0.456929, -0.262897, 0.849765)","(0.583433, 0.801866, 0.128906)","(-0.314005, 0.487974, -0.814421)","(-0.620972, -0.0580348, -0.781681)","(0.323553, -0.262267, 0.909136)","(0.674977, 0.733312, 0.0816053)","(0.0108925, 0.370869, -0.928621)","(-0.366013, -0.0560898, -0.928918)",fist,peter
"(0, 0, 0)","(0.537949, -0.0564072, 0.841088)","(0.703114, -0.195771, 0.683596)","(0.839158, -0.351255, 0.415253)","(0.670788, -0.319182, 0.669452)","(0.377511, -0.663595, 0.645854)","(0.51008, -0.4346, 0.742254)","(0.596007, -0.194885, 0.778971)","(0.573446, -0.296925, 0.763542)","(0.54863, 0.820687, 0.15962)","(-0.43428, 0.542794, -0.718871)","(-0.704293, -0.0394577, -0.708812)","(0.454986, -0.26293, 0.850797)","(0.58055, 0.803378, 0.132458)","(-0.312424, 0.488934, -0.814453)","(-0.617953, -0.0579319, -0.784078)","(0.321416, -0.26283, 0.909732)","(0.672397, 0.735252, 0.085363)","(0.0125406, 0.372305, -0.928026)","(-0.363059, -0.056009, -0.930081)",fist,peter
"(0, 0, 0)","(0.53716, -0.0562226, 0.841604)","(0.702785, -0.195072, 0.684134)","(0.839447, -0.349993, 0.415732)","(0.670734, -0.318532, 0.669816)","(0.378244, -0.663462, 0.645561)","(0.510124, -0.434512, 0.742275)","(0.595475, -0.194904, 0.779373)","(0.573246, -0.29658, 0.763826)","(0.546752, 0.821649, 0.161104)","(-0.434647, 0.542674, -0.71874)","(-0.703458, -0.0401488, -0.709602)","(0.454623, -0.262928, 0.850992)","(0.578839, 0.804324, 0.134191)","(-0.312132, 0.489683, -0.814116)","(-0.616743, -0.057689, -0.785048)","(0.32099, -0.263168, 0.909784)","(0.670812, 0.736489, 0.087148)","(0.0125678, 0.37314, -0.92769)","(-0.3622, -0.0560936, -0.930411)",fist,peter
"(0, 0, 0)","(0.536622, -0.0556724, 0.841984)","(0.702765, -0.193884, 0.684493)","(0.840088, -0.348139, 0.415996)","(0.671075, -0.317414, 0.670005)","(0.379183, -0.663839, 0.644622)","(0.509429, -0.437085, 0.741241)","(0.593996, -0.199804, 0.779261)","(0.573449, -0.295841, 0.763959)","(0.544319, 0.822995, 0.162468)","(-0.435586, 0.542255, -0.718488)","(-0.702768, -0.0413264, -0.710218)","(0.454662, -0.262618, 0.851066)","(0.576571, 0.805686, 0.13578)","(-0.312431, 0.490188, -0.813697)","(-0.615708, -0.0579124, -0.785843)","(0.320983, -0.263298, 0.909749)","(0.668711, 0.738205, 0.0887679)","(0.0121028, 0.374016, -0.927343)","(-0.361519, -0.0563992, -0.930657)",fist,peter
"(0, 0, 0)","(0.536158, -0.0546789, 0.842345)","(0.702772, -0.192391, 0.684906)","(0.840695, -0.346181, 0.416403)","(0.671416, -0.315993, 0.670335)","(0.379375, -0.664867, 0.643449)","(0.50762, -0.441817, 0.739676)","(0.591512, -0.208354, 0.778911)","(0.573668, -0.294716, 0.76423)","(0.542073, 0.824326, 0.163229)","(-0.436484, 0.54145, -0.71855)","(-0.702157, -0.0428268, -0.710733)","(0.454734, -0.26184, 0.851268)","(0.574476, 0.807016, 0.136757)","(-0.312745, 0.490185, -0.813578)","(-0.614785, -0.058572, -0.786517)","(0.321015, -0.262893, 0.909855)","(0.666769, 0.739833, 0.0898145)","(0.011626, 0.374285, -0.927241)","(-0.360932, -0.0572257, -0.930835)",fist,peter
"(0, 0, 0)","(0.542296, -0.0493567, 0.838737)","(0.707288, -0.18892, 0.681214)","(0.84271, -0.345412, 0.412953)","(0.675436, -0.312536, 0.667912)","(0.381124, -0.662312, 0.645048)","(0.509474, -0.442684, 0.73788)","(0.594328, -0.212984, 0.775508)","(0.578466, -0.290158, 0.762355)","(0.545886, 0.823915, 0.152229)","(-0.440171, 0.536808, -0.719782)","(-0.707619, -0.0465255, -0.70506)","(0.460294, -0.256172, 0.850003)","(0.578117, 0.80619, 0.125849)","(-0.316956, 0.48476, -0.815197)","(-0.620667, -0.062645, -0.781567)","(0.327017, -0.256302, 0.909598)","(0.669791, 0.738355, 0.0788169)","(0.00567281, 0.366288, -0.930484)","(-0.368313, -0.0641548, -0.927485)",fist,peter
