thumb_metacarpal,thumb_proximal,thumb_intermediate,thumb_distal,index_metacarpal,index_proximal,index_intermediate,index_distal,middle_metacarpal,middle_proximal,middle_intermediate,middle_distal,ring_metacarpal,ring_proximal,ring_intermediate,ring_distal,pinky_metacarpal,pinky_proximal,pinky_intermediate,pinky_distal,gesture,person
"(0, 0, 0)","(-0.86632, 0.38042, 0.323682)","(-0.837961, 0.433018, 0.33214)","(-0.807253, 0.482964, 0.339246)","(-0.864918, 0.491489, -0.101759)","(-0.701636, 0.430461, 0.567812)","(0.0255691, 0.156875, 0.987288)","(0.506894, -0.0940666, 0.856861)","(-0.788138, 0.603849, -0.119185)","(-0.731713, 0.624989, -0.272)","(-0.746732, 0.604675, 0.277056)","(-0.582557, 0.443966, 0.680824)","(-0.68662, 0.714833, -0.132541)","(-0.628303, 0.649579, -0.428115)","(-0.74002, 0.671462, 0.0388441)","(-0.696889, 0.56178, 0.445813)","(-0.576222, 0.796897, -0.181449)","(-0.386093, 0.806365, -0.448004)","(-0.570118, 0.82113, -0.0266803)","(-0.633021, 0.688818, 0.353291)",pinch,louis
"(0, 0, 0)","(-0.868135, 0.377903, 0.321763)","(-0.838703, 0.431886, 0.33174)","(-0.805891, 0.484383, 0.34046)","(-0.86133, 0.498038, -0.100346)","(-0.71413, 0.427783, 0.554094)","(0.0101067, 0.143013, 0.989669)","(0.500155, -0.113322, 0.858489)","(-0.783793, 0.610255, -0.115137)","(-0.725942, 0.632522, -0.270044)","(-0.746914, 0.603673, 0.278745)","(-0.58739, 0.435552, 0.682105)","(-0.681562, 0.720888, -0.125674)","(-0.617373, 0.662929, -0.423529)","(-0.733639, 0.678263, 0.0416433)","(-0.696228, 0.561831, 0.44678)","(-0.570305, 0.803182, -0.172193)","(-0.383357, 0.820145, -0.424736)","(-0.568883, 0.822418, 0.000590265)","(-0.631538, 0.677026, 0.377882)",pinch,louis
"(0, 0, 0)","(-0.871867, 0.37078, 0.319955)","(-0.841191, 0.42654, 0.332357)","(-0.802433, 0.487155, 0.344646)","(-0.858275, 0.504076, -0.0962861)","(-0.733181, 0.419792, 0.534996)","(-0.0171899, 0.122392, 0.992333)","(0.485064, -0.137876, 0.863541)","(-0.780164, 0.616364, -0.106953)","(-0.719027, 0.642149, -0.26579)","(-0.748956, 0.599717, 0.281787)","(-0.596195, 0.420497, 0.68391)","(-0.677418, 0.726849, -0.113121)","(-0.60671, 0.678849, -0.413601)","(-0.729232, 0.682468, 0.0495772)","(-0.698498, 0.555012, 0.451733)","(-0.565318, 0.809996, -0.155956)","(-0.388471, 0.837284, -0.384767)","(-0.576717, 0.815293, 0.0519139)","(-0.634981, 0.643731, 0.427094)",pinch,louis
"(0, 0, 0)","(-0.872723, 0.363295, 0.326146)","(-0.840819, 0.420498, 0.340889)","(-0.796849, 0.487594, 0.356767)","(-0.856477, 0.509333, -0.0838211)","(-0.74507, 0.410791, 0.525472)","(-0.0342279, 0.0988738, 0.994511)","(0.477388, -0.164281, 0.863199)","(-0.778007, 0.621661, -0.0907908)","(-0.711282, 0.653292, -0.259398)","(-0.748391, 0.598602, 0.285632)","(-0.601833, 0.408852, 0.68603)","(-0.674922, 0.731975, -0.093235)","(-0.600901, 0.694252, -0.396146)","(-0.725607, 0.684946, 0.0659028)","(-0.697714, 0.545662, 0.464163)","(-0.562434, 0.816054, -0.133129)","(-0.396323, 0.851889, -0.342363)","(-0.584139, 0.804792, 0.105316)","(-0.635282, 0.607215, 0.477186)",pinch,louis
"(0, 0, 0)","(-0.872887, 0.365015, 0.323778)","(-0.838206, 0.426145, 0.34031)","(-0.787182, 0.501489, 0.358961)","(-0.855159, 0.511941, -0.0813605)","(-0.75337, 0.411435, 0.512986)","(-0.0468029, 0.0943457, 0.994439)","(0.471505, -0.17276, 0.864776)","(-0.776432, 0.624161, -0.0870371)","(-0.703308, 0.660731, -0.262282)","(-0.745531, 0.603369, 0.283072)","(-0.602898, 0.409071, 0.684964)","(-0.673108, 0.734273, -0.0881385)","(-0.596602, 0.701099, -0.390545)","(-0.72255, 0.687636, 0.0712655)","(-0.696235, 0.544036, 0.468275)","(-0.56033, 0.818489, -0.126912)","(-0.394715, 0.855378, -0.335454)","(-0.584131, 0.803834, 0.112437)","(-0.636096, 0.601733, 0.48301)",pinch,louis
"(0, 0, 0)","(-0.874343, 0.363688, 0.321333)","(-0.838076, 0.427136, 0.339386)","(-0.781523, 0.50902, 0.360722)","(-0.853769, 0.514528, -0.0796274)","(-0.758957, 0.410487, 0.505456)","(-0.0562824, 0.087593, 0.994565)","(0.466124, -0.181867, 0.865825)","(-0.774786, 0.626631, -0.0839004)","(-0.695763, 0.669466, -0.260246)","(-0.741257, 0.606859, 0.28681)","(-0.600643, 0.405631, 0.688979)","(-0.671229, 0.736529, -0.0835245)","(-0.592086, 0.708626, -0.383775)","(-0.719431, 0.689999, 0.0795042)","(-0.693872, 0.540364, 0.475971)","(-0.558127, 0.82088, -0.121036)","(-0.391612, 0.859461, -0.328583)","(-0.582881, 0.803933, 0.118077)","(-0.636698, 0.598299, 0.48647)",pinch,louis
"(0, 0, 0)","(-0.877488, 0.359022, 0.317991)","(-0.840944, 0.423245, 0.33716)","(-0.78158, 0.508962, 0.36068)","(-0.852549, 0.51679, -0.0780266)","(-0.762386, 0.409036, 0.501455)","(-0.0621704, 0.0803276, 0.994828)","(0.46281, -0.19069, 0.865704)","(-0.773348, 0.62878, -0.0810495)","(-0.686412, 0.681655, -0.253347)","(-0.732756, 0.611254, 0.299062)","(-0.590957, 0.398939, 0.701154)","(-0.669592, 0.738477, -0.0793595)","(-0.587728, 0.716953, -0.374906)","(-0.715624, 0.692477, 0.0914254)","(-0.689471, 0.535535, 0.487681)","(-0.556208, 0.822943, -0.115746)","(-0.387236, 0.864687, -0.319944)","(-0.579846, 0.804941, 0.125892)","(-0.635308, 0.595331, 0.491899)",pinch,louis
"(0, 0, 0)","(-0.879149, 0.358806, 0.313615)","(-0.841241, 0.423946, 0.335536)","(-0.779861, 0.510237, 0.362594)","(-0.84649, 0.526919, -0.0762294)","(-0.767946, 0.405444, 0.495856)","(-0.0774482, 0.0571313, 0.995358)","(0.449843, -0.217626, 0.866187)","(-0.766201, 0.638168, -0.0753565)","(-0.668616, 0.702319, -0.244337)","(-0.72368, 0.61747, 0.308249)","(-0.589657, 0.3894, 0.707582)","(-0.661444, 0.746767, -0.0695041)","(-0.574315, 0.73694, -0.356485)","(-0.706919, 0.698212, 0.112985)","(-0.683858, 0.525009, 0.506659)","(-0.546784, 0.83101, -0.102225)","(-0.370063, 0.880614, -0.295927)","(-0.568312, 0.809754, 0.146016)","(-0.630869, 0.589643, 0.504307)",pinch,louis
"(0, 0, 0)","(-0.88314, 0.355717, 0.305824)","(-0.84405, 0.420162, 0.333232)","(-0.780905, 0.504986, 0.367664)","(-0.834941, 0.545729, -0.0710844)","(-0.777575, 0.391438, 0.49209)","(-0.107718, 0.00145979, 0.994181)","(0.420952, -0.276323, 0.86397)","(-0.752902, 0.655267, -0.0613489)","(-0.644342, 0.730631, -0.225836)","(-0.719573, 0.615669, 0.321194)","(-0.602285, 0.36044, 0.712275)","(-0.646611, 0.761428, -0.0460599)","(-0.546337, 0.77783, -0.31064)","(-0.689313, 0.707305, 0.156739)","(-0.676822, 0.502749, 0.537732)","(-0.52962, 0.845311, -0.0703734)","(-0.344586, 0.90667, -0.243331)","(-0.555668, 0.809791, 0.188339)","(-0.631583, 0.567304, 0.528459)",pinch,louis
"(0, 0, 0)","(-0.885322, 0.353714, 0.301812)","(-0.845441, 0.418113, 0.332283)","(-0.781096, 0.502453, 0.370715)","(-0.829297, 0.55474, -0.0673041)","(-0.783959, 0.385084, 0.486949)","(-0.123616, -0.0267279, 0.99197)","(0.408233, -0.306906, 0.859741)","(-0.746529, 0.663232, -0.0530742)","(-0.631138, 0.745237, -0.215144)","(-0.716776, 0.614711, 0.329186)","(-0.60756, 0.344731, 0.715564)","(-0.639625, 0.767977, -0.0330303)","(-0.527489, 0.805948, -0.268707)","(-0.672557, 0.711822, 0.202427)","(-0.66133, 0.482541, 0.574279)","(-0.521599, 0.851539, -0.0530707)","(-0.334493, 0.920845, -0.200398)","(-0.550031, 0.803431, 0.227956)","(-0.629288, 0.543721, 0.555306)",pinch,louis
